"filename", "language", "TypeScript", "HTML", "XML", "CSS", "Svelte", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Button.svelte", "Svelte", 0, 0, 0, 0, -8, 0, 0, 0, 0, -5, -13
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/DateTime.svelte", "Svelte", 0, 0, 0, 0, -181, 0, 0, 0, 181, -7, -7
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Icon.svelte", "Svelte", 0, 0, 0, 0, -19, 0, 0, 0, 0, -3, -22
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/InputLabel.svelte", "Svelte", 0, 0, 0, 0, 74, 0, 0, 0, 0, 3, 77
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Radio.svelte", "Svelte", 0, 0, 0, 0, 89, 0, 0, 0, 0, 4, 93
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Select.svelte", "Svelte", 0, 0, 0, 0, -44, 0, 0, 0, 0, -7, -51
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/TextInput.svelte", "Svelte", 0, 0, 0, 0, -17, 0, 0, 0, 0, 4, -13
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Toggle.svelte", "Svelte", 0, 0, 0, 0, 101, 0, 0, 0, 0, 11, 112
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Tooltip.svelte", "Svelte", 0, 0, 0, 0, -27, 0, 0, 0, 0, 2, -25
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataDropdownItem.svelte", "Svelte", 0, 0, 0, 0, 1, 0, 0, 0, 6, 2, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataSelect.svelte", "Svelte", 0, 0, 0, 0, 37, 0, 0, 0, 0, -2, 35
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebIcon.svelte", "Svelte", 0, 0, 0, 0, 266, 0, 0, 0, 0, 14, 280
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/select/NotionSelect.svelte", "Svelte", 0, 0, 0, 0, 135, 0, 0, 0, 0, 11, 146
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/select/OnlyIcon.svelte", "Svelte", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/select/Select.svelte", "Svelte", 0, 0, 0, 0, 1148, 0, 0, 0, 0, 33, 1181
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/select/SimpleWithIcon.svelte", "Svelte", 0, 0, 0, 0, 113, 0, 0, 0, 0, 11, 124
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/global.d.ts", "TypeScript", -79, 0, 0, 0, 0, 0, 0, 0, 1, -1, -79
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/icons.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, -1, 26
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/media.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/notionicon.ts", "TypeScript", -633, 0, 0, 0, 0, 0, 0, 0, 0, 0, -633
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/background/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -28, -9, -37
