"filename", "language", "HTML", "TypeScript", "JSON", "Svelte", "CSS", "SCSS", "JSON with Comments", "YAML", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/webdata.ts", "TypeScript", 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 35, 50, 371
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.scss", "SCSS", 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 23, 68, 347
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.css", "CSS", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 23, 93
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/termsofuse.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 1, 26
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.node.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vite.config.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 55
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vscode/.favorites.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 84, 1631, 7528, 2953, 72, 256, 19, 18, 4, 2, 188, 585, 13340
